Date,AMZN,BTC,NFLX
2015-01-28,303.910004,236.169998,63.208572
2015-01-29,311.779999,233.990005,63.400002
2015-01-30,354.529999,231.839996,63.114285
2015-02-02,364.470001,238.860001,63.009998
2015-02-03,363.549988,227.410004,65.274284
2015-02-04,364.75,226.580002,64.101425
2015-02-05,373.890015,216.520004,64.129997
2015-02-06,374.279999,222.960007,63.48
2015-02-09,370.559998,220.339996,63.295715
2015-02-10,373,219.669998,64.849998
2015-02-11,375.140015,218.830002,64.984283
2015-02-12,377.170013,221.789993,65.247147
2015-02-13,381.829987,236.169998,66.585716
2015-02-17,375.429993,243.199997,67.137146
2015-02-18,373.369995,235.199997,67.865715
2015-02-19,379,241.919998,67.800003
2015-02-20,383.660004,244.520004,68.314285
2015-02-23,380.140015,238.820007,67.405716
2015-02-24,378.589996,238.889999,67.839996
2015-02-25,385.369995,237.330002,68.332855
2015-02-26,384.799988,236.529999,69.004288
2015-02-27,380.160004,253.470001,67.844284
2015-03-02,385.660004,273.75,68.60714
2015-03-03,384.609985,280.649994,67.815712
2015-03-04,382.720001,271.920013,67.110001
2015-03-05,387.829987,275.230011,66.807144
2015-03-06,380.089996,272.559998,64.874283
2015-03-09,378.559998,290.019989,63.66143
2015-03-10,369.51001,291.369995,62.151428
2015-03-11,366.369995,295.600006,62.884285
2015-03-12,374.23999,293.850006,64.045715
2015-03-13,370.579987,287.209991,62.628571
2015-03-16,373.350006,290.410004,60.281429
2015-03-17,371.920013,285.380005,59.78857
2015-03-18,375.140015,255.919998,60.445713
2015-03-19,373.23999,260.929993,60.744286
2015-03-20,378.48999,261.779999,61.185715
2015-03-23,375.109985,265.459991,60.714287
2015-03-24,374.089996,246.720001,62.611427
2015-03-25,370.959991,246.369995,60.25
2015-03-26,367.350006,248.020004,59.751427
2015-03-27,370.559998,247.210007,59.252857
2015-03-30,374.589996,244.149994,60.367142
2015-03-31,372.100006,246.240005,59.527142
2015-04-01,370.26001,252.600006,59.017143
2015-04-02,372.25,254.479996,59.154285
2015-04-06,377.040009,252.970001,60.330002
2015-04-07,374.410004,244.570007,60.494286
2015-04-08,381.200012,243.320007,63.049999
2015-04-09,383.540009,234.729996,62.785713
2015-04-10,382.649994,236.479996,64.938568
2015-04-13,382.359985,217.990005,67.811432
2015-04-14,385.109985,222.970001,68.387146
2015-04-15,383.450012,227.979996,67.922859
2015-04-16,386.040009,222.589996,80.292854
2015-04-17,375.559998,223.350006,81.650002
2015-04-20,389.51001,233.729996,81.055717
2015-04-21,391.179993,233.779999,80.062859
2015-04-22,389.799988,235.399994,79.668571
2015-04-23,389.98999,231.089996,79.865715
2015-04-24,445.100006,226.139999,79.771431
2015-04-27,438.559998,225.809998,80.868568
2015-04-28,429.309998,225.419998,80.437141
2015-04-29,429.369995,235.770004,80.407143
2015-04-30,421.779999,233.210007,79.5
2015-05-01,422.869995,235.339996,79.575714
2015-05-04,423.040009,235.820007,79.271431
2015-05-05,421.190002,230.029999,80.792854
2015-05-06,419.100006,237.729996,80.077141
2015-05-07,426.880005,243.740005,80.748573
2015-05-08,433.690002,241.399994,82.085716
2015-05-11,432.850006,241.580002,84.278572
2015-05-12,431.019989,236.380005,83.377144
2015-05-13,426.869995,236.899994,82.872856
2015-05-14,432.279999,237.199997,83.835716
2015-05-15,426,236.229996,87.60714
2015-05-18,425.23999,232.020004,88.267143
2015-05-19,421.709991,233.960007,88.068573
2015-05-20,423.859985,235.380005,88.790001
2015-05-21,431.630005,240.369995,89.002853
2015-05-22,427.630005,238.940002,88.83857
2015-05-26,425.470001,237.289993,87.992859
2015-05-27,431.420013,237.320007,89.85714
2015-05-28,426.570007,237.029999,89.507141
2015-05-29,429.230011,233.220001,89.151428
2015-06-01,430.920013,225.740005,89.002853
2015-06-02,430.98999,225.589996,89.129997
2015-06-03,436.589996,224.220001,88.808571
2015-06-04,430.779999,225.289993,89.348572
2015-06-05,426.950012,224.740005,90.459999
2015-06-08,423.5,229.559998,89.604286
2015-06-09,425.480011,228.789993,92.449997
2015-06-10,430.769989,229.880005,95.871429
2015-06-11,432.970001,230.460007,95.094284
2015-06-12,429.920013,232.479996,94.418571
2015-06-15,423.670013,249.820007,93.431427
2015-06-16,427.26001,247.380005,95.272858
2015-06-17,427.809998,248.440002,94.271431
2015-06-18,439.390015,244.130005,94.742859
2015-06-19,434.920013,244.979996,93.871429
2015-06-22,436.290009,243.759995,96.414284
2015-06-23,445.98999,240.559998,97.312859
2015-06-24,440.839996,242.559998,96.944283
2015-06-25,440.100006,242.949997,94.891426
2015-06-26,438.100006,250.729996,93.08857
2015-06-29,429.859985,264.119995,92.23143
2015-06-30,434.089996,257.619995,93.848572
2015-07-01,437.390015,254.880005,93.635712
2015-07-02,437.709991,255.399994,94.044289
2015-07-06,436.040009,266.209991,94.571426
2015-07-07,436.720001,268.640015,94.091431
2015-07-08,429.700012,269.140015,93.507141
2015-07-09,434.390015,283.619995,95.727142
2015-07-10,443.51001,291.970001,97.228569
2015-07-13,455.570007,286.959991,101.087143
2015-07-14,465.570007,283.420013,100.371429
2015-07-15,461.190002,276.589996,98.129997
2015-07-16,475.480011,279.619995,115.809998
2015-07-17,483.01001,274.049988,114.769997
2015-07-20,488.100006,275.089996,110.550003
2015-07-21,488,276.459991,112.510002
2015-07-22,488.269989,275.519989,111.5
2015-07-23,482.179993,288.369995,110.099998
2015-07-24,529.419983,288.73999,109.339996
2015-07-27,531.409973,293.700012,106.43
2015-07-28,526.030029,288.369995,106.900002
2015-07-29,529,287.019989,107.080002
2015-07-30,536.76001,283.730011,111.559998
2015-07-31,536.150024,280.470001,114.309998
2015-08-03,535.030029,284.299988,112.559998
2015-08-04,531.900024,281.720001,121.150002
2015-08-05,537.01001,278,123.709999
2015-08-06,529.460022,277.890015,126.449997
2015-08-07,522.619995,258.600006,123.519997
2015-08-10,524,269.029999,123.029999
2015-08-11,527.460022,267.660004,122.739998
2015-08-12,525.909973,263.440002,120.510002
